1st Downs (AWAY),1st Downs (HOME),3rd down efficiency (AWAY),3rd down efficiency (HOME),4th down efficiency (AWAY),4th down efficiency (HOME),Total Plays (AWAY),Total Plays (HOME),Total Yards (AWAY),Total Yards (HOME),Total Drives (AWAY),Total Drives (HOME),Yards per Play (AWAY),Yards per Play (HOME),Passing (AWAY),Passing (HOME),Comp-Att (AWAY),Comp-Att (HOME),Yards per pass (AWAY),Yards per pass (HOME),Sacks-Yards Lost (AWAY),Sacks-Yards Lost (HOME),Rushing (AWAY),Rushing (HOME),Rushing Attempts (AWAY),Rushing Attempts (HOME),Yards per rush (AWAY),Yards per rush (HOME),Red Zone (Made-Att) (AWAY),Red Zone (Made-Att) (HOME),Penalties (AWAY),Penalties (HOME),Turnovers (AWAY),Turnovers (HOME),Defensive / Special Teams TDs (AWAY),Defensive / Special Teams TDs (HOME),Possession (AWAY),Possession (HOME),Away Team Win?
23,19,0.9,0.46,0,0.67,58,66,413,243,10,10,7.1,3.7,292,191,0.84,0.71,8.8,4,5,49,121,52,25,18,4.8,2.9,1,0.5,35,30,4,3,0,0,0.52,0.48,21
18,26,0.31,0.38,0,0,57,71,385,416,12,13,6.8,5.9,234,215,0.68,0.61,6.2,6.5,35,0,151,201,19,38,7.9,5.3,1,0.5,99,55,1,2,0,0,0.44,0.56,1
17,15,0.47,0.36,0,0,67,56,331,204,11,11,4.9,3.6,155,105,0.46,0.47,5.2,5.5,9,16,176,99,37,37,4.8,2.7,0.33,1,99,24,2,1,0,0,0.56,0.44,-9
13,32,0.27,0.5,0,0.33,61,94,267,432,15,14,4.4,4.6,192,299,0.55,0.62,4.9,5,2,39,75,133,22,34,3.4,3.9,0.5,0.4,59,27,0,5,1,0,0.44,0.73,3
27,23,0.59,0.64,0.67,1,72,66,455,386,10,11,6.3,5.8,239,205,0.56,0.57,7.2,5.4,4,10,216,181,39,28,5.5,6.5,0.8,1,61,65,0,1,1,0,0.53,0.47,3
17,18,0.44,0.43,0,1,54,59,271,307,9,8,5,5.2,193,242,0.7,0.7,6,6.7,20,28,78,65,22,23,3.5,2.8,1,0,15,20,3,0,0,1,0.46,0.54,-13
13,24,0.38,0.14,0,0.75,53,79,274,380,13,12,5.2,4.8,211,297,0.57,0.63,6.6,4.8,2,12,63,83,21,17,3,4.9,0.5,0.5,29,81,1,2,0,0,0.46,0.54,15
24,26,0.25,0.7,0,0,62,70,383,390,11,12,6.2,5.6,260,305,0.57,0.66,5.9,7.3,15,8,123,85,18,28,6.8,3,0.4,1,90,63,1,3,0,0,0.45,0.55,-6
23,15,0.44,0.36,0.5,0,74,50,355,261,11,12,4.8,5.2,138,207,0.53,0.59,3.9,6.7,9,28,217,54,39,19,5.6,2.8,0.25,0.67,71,96,0,1,0,0,0.64,0.36,2
33,20,0.4,0.33,0,0,90,68,517,299,13,14,5.7,4.4,340,222,0.64,0.62,6.5,5.6,12,18,177,77,38,28,4.7,2.8,0.4,1,89,40,2,1,0,0,0.66,0.51,0
19,19,0.2,0.27,1,0,58,60,394,359,12,11,6.8,6,156,266,0.81,0.61,6,7.8,32,0,238,93,32,26,7.4,3.6,0.67,0.67,45,50,2,1,0,0,0.48,0.52,1
21,19,0.33,0.31,0,1,61,61,338,395,11,10,5.5,6.5,227,269,0.67,0.72,5.3,8.2,33,8,111,126,18,28,6.2,4.5,0.33,0.33,10,20,2,0,0,0,0.48,0.52,-16
33,18,0.63,0.25,1,0.75,66,63,488,282,10,11,7.4,4.5,360,179,0.77,0.63,9.2,4.4,0,26,128,103,27,22,4.7,4.7,1,1,25,49,1,0,0,0,0.58,0.42,23
18,18,0.45,0.43,0.5,0,56,65,320,355,11,11,5.7,5.5,256,279,0.59,0.76,6,8.2,39,0,64,76,13,31,4.9,2.5,0.67,0.67,11,21,3,0,0,0,0.46,0.54,-5
18,12,0.36,0.2,0,0.4,62,64,347,244,11,11,5.6,3.8,195,173,0.67,0.5,6.7,3.8,17,25,152,71,33,18,4.6,3.9,0.33,0,25,73,1,1,0,0,0.55,0.46,16
20,19,0.53,0.55,0,0,64,49,433,253,8,8,6.8,5.2,330,177,0.69,0.82,7.5,5.9,10,18,103,76,20,19,5.2,4,0,0,106,77,2,1,0,0,0.56,0.44,-1
21,15,0.31,0.33,1,0,74,54,401,319,12,11,5.4,5.9,326,226,0.69,0.69,6.5,6.3,8,9,75,93,24,18,3.1,5.2,0.6,0.33,25,54,1,0,0,1,0.56,0.44,-3
20,29,0.53,0.67,1,0,67,65,402,405,11,10,6,6.2,309,221,0.6,0.81,6.6,7.9,15,8,93,184,20,37,4.7,5,0.75,0.8,57,38,1,1,0,0,0.46,0.54,1
21,17,0.47,0.31,0.5,0,72,61,396,425,14,14,5.5,7,308,234,0.65,0.59,6,6.3,29,22,88,191,21,24,4.2,8,1,0.67,17,5,1,0,0,0,0.53,0.47,-9
13,18,0.29,0.31,0,0,65,66,260,308,13,13,4,4.7,188,208,0.53,0.63,5.4,4.5,2,28,72,100,30,20,2.4,5,0,0.5,101,60,1,5,1,0,0.49,0.51,10
18,18,0.17,0.33,1,1,54,70,275,265,11,12,5.1,3.8,129,162,0.48,0.65,4.2,4.4,16,14,146,103,23,33,6.3,3.1,0.25,0.33,38,62,2,0,0,0,0.4,0.6,-3
18,16,0.53,0.53,0,0,66,58,376,243,10,9,5.7,4.2,252,152,0.6,0.64,7.2,4.2,0,16,124,91,31,22,4,4.1,0.33,0.5,55,20,1,2,0,0,0.56,0.44,3
9,21,0.2,0.4,0,0.67,48,67,218,331,11,11,4.5,4.9,164,235,0.53,0.83,4.7,7.8,31,0,54,96,13,37,4.2,2.6,0,1,30,19,3,0,0,0,0.36,0.64,-24
27,23,0.64,0.3,1,0.33,69,54,547,473,11,11,7.9,8.8,461,318,0.72,0.72,9,11,8,0,86,155,18,25,4.8,6.2,1,0.67,51,5,2,0,0,1,0.58,0.42,4
17,24,0.3,0.6,0.5,0,56,63,261,337,10,10,4.7,5.3,171,272,0.65,0.75,5.9,7.4,25,0,90,65,27,26,3.3,2.5,0.5,0.8,29,61,3,3,1,0,0.49,0.51,-4
14,25,0.29,0.4,0,0.67,47,70,216,373,9,10,4.6,5.3,180,184,0.77,0.63,5.5,7.4,17,0,36,189,14,45,2.6,4.2,0,0.4,106,26,3,0,1,0,0.36,0.64,-20
19,19,0.35,0.3,1,1,67,59,254,337,10,10,3.8,5.7,165,230,0.67,0.61,3.9,7.2,34,5,89,107,25,27,3.6,4,1,1,35,45,0,1,0,0,0.56,0.44,-3
15,20,0.15,0.25,0.33,1,59,65,234,350,11,11,4,5.4,154,201,0.5,0.45,3.8,5.9,23,18,80,149,18,31,4.4,4.8,0,0,94,100,0,1,0,0,0.46,0.54,-7
28,20,0.23,0.55,0.6,0,78,61,413,324,9,9,5.3,5.3,270,244,0.63,0.64,5.4,6.1,7,8,143,80,28,21,5.1,3.8,0.75,0.5,120,68,1,1,1,0,0.61,0.5,6
11,26,0.14,0.56,0,0,41,66,228,414,9,9,5.6,6.3,48,211,0.64,0.76,3.4,7.5,22,23,180,203,27,38,6.7,5.3,0.5,0.6,50,25,1,1,0,0,0.38,0.62,-17
12,23,0.33,0.38,1,0.67,53,65,187,414,11,11,3.5,6.4,107,313,0.5,0.65,4.1,7.6,16,4,80,101,27,24,3,4.2,1,0.6,87,49,4,0,0,1,0.47,0.53,-34
20,25,0.33,0.54,0,0,59,68,264,486,10,10,4.5,7.1,202,323,0.59,0.84,4.2,9.5,19,10,62,163,11,34,5.6,4.8,0.25,0.5,25,60,3,1,0,0,0.4,0.6,-17
20,22,0.11,0.38,0,0.75,55,71,308,376,11,10,5.6,5.3,204,205,0.63,0.68,6.2,6.2,3,15,104,171,22,38,4.7,4.5,0.67,0.75,25,24,1,0,0,1,0.4,0.6,-12
17,17,0.25,0.43,1,0,57,62,329,363,11,12,5.8,5.9,237,82,0.63,0.47,7.2,3.7,8,24,92,281,24,40,3.8,7,0.5,0.67,25,32,2,2,0,0,0.48,0.52,-3
24,19,0.08,0.5,1,0,65,55,396,361,9,10,6.1,6.6,300,252,0.6,0.7,6.5,9,7,12,96,109,19,27,5.1,4,0.33,1,44,85,1,1,0,0,0.51,0.49,-2
20,19,0.3,0.4,0.5,0.33,60,69,315,259,10,11,5.2,3.8,257,177,0.56,0.73,6.9,4.2,5,45,58,82,23,27,2.5,3,0.5,0.67,45,34,2,1,0,0,0.44,0.56,-3
31,15,0.61,0.38,0.67,0,90,39,497,212,9,8,5.5,5.4,382,171,0.67,0.65,5.7,7.8,18,15,115,41,23,17,5,2.4,0.5,1,52,20,1,0,0,0,0.68,0.32,-2
23,30,0.19,0.22,0.67,0.5,76,67,416,373,12,13,5.5,5.6,277,250,0.61,0.59,6.8,6,0,10,139,123,35,25,4,4.9,1,1,59,15,1,1,0,0,0.57,0.43,-4
19,22,0.45,0.22,0,0.5,59,63,394,447,12,12,6.7,7.1,206,302,0.62,0.69,6.2,8.6,12,19,188,145,26,28,7.2,5.2,1,0.6,10,16,2,4,0,0,0.51,0.49,11
20,19,0.5,0.39,0,0,66,76,330,328,12,12,5,4.3,261,252,0.64,0.54,6.9,4.5,14,33,69,76,28,20,2.5,3.8,0.5,0,30,55,1,4,0,0,0.54,0.46,15
21,20,0.33,0.35,0.67,0,68,74,400,240,13,12,5.9,3.2,328,153,0.63,0.58,8.6,2.9,12,58,72,87,30,22,2.4,4,0.5,0.33,52,48,0,1,0,0,0.45,0.55,16
19,12,0.38,0.29,0,0,64,59,426,293,13,13,6.7,5,342,148,0.61,0.48,8.1,5.3,11,22,84,145,22,31,3.8,4.7,0.5,0,58,40,3,0,0,1,0.5,0.5,-8
25,16,0.53,0.38,0.67,0,75,58,413,312,11,10,5.5,5.4,262,286,0.72,0.56,6.7,6.2,0,11,151,26,36,12,4.2,2.2,0.5,0.33,10,54,0,2,0,0,0.64,0.36,28
15,23,0.38,0.33,0,0.8,46,81,339,365,10,9,7.4,4.5,239,295,0.72,0.64,9.2,4.9,10,19,100,70,20,21,5,3.3,0.33,0,35,50,1,0,0,0,0.43,0.57,8
24,23,0.57,0.53,0,0.67,54,69,386,420,9,8,7.1,6.1,207,308,0.65,0.73,9,6.7,22,17,179,112,31,23,5.8,4.9,0.75,0.4,15,47,2,1,0,0,0.47,0.53,4
14,19,0.4,0.18,0,1,61,59,315,285,12,12,5.2,4.8,248,251,0.77,0.74,6.9,5.6,7,20,67,34,25,14,2.7,2.4,0.67,1,65,40,2,2,0,0,0.56,0.44,2
13,14,0.1,0.32,0,0,52,70,267,261,14,14,5.1,3.7,179,160,0.62,0.61,5.4,4.3,32,24,88,101,19,33,4.6,3.1,1,1,40,30,3,0,0,0,0.43,0.57,-1
23,22,0.38,0.27,1,0,61,67,391,336,11,10,6.4,5,215,169,0.68,0.54,6.9,4,0,27,176,167,30,25,5.9,6.7,0.5,0,70,57,0,1,0,0,0.55,0.46,7
20,16,0.2,0.53,0,0,60,63,378,371,11,12,6.3,5.9,293,304,0.59,0.66,7.7,9.2,10,6,85,67,22,30,3.9,2.2,0.33,0.67,41,74,2,0,0,0,0.47,0.53,-12
23,19,0.36,0.4,1,1,67,57,344,338,11,10,5.1,5.9,263,227,0.67,0.71,6.3,7.6,23,9,81,111,25,27,3.2,4.1,0.4,1,35,102,1,2,0,0,0.54,0.46,3
22,19,0.36,0.33,0.67,0,71,55,403,333,10,11,5.7,6.1,226,131,0.6,0.37,6.3,6.6,8,8,177,202,35,35,5.1,5.8,0.33,0.5,51,15,2,1,0,0,0.6,0.4,-3
17,15,0.33,0.33,0,0,71,57,297,279,13,13,4.2,4.9,155,217,0.6,0.56,3.5,7.8,15,6,142,62,27,29,5.3,2.1,0.33,0.33,136,20,2,0,0,0,0.55,0.45,-15
27,27,0.75,0.4,0,1,63,66,555,520,9,11,8.8,7.9,320,375,0.77,0.68,10.7,9.1,0,9,235,145,33,25,7.1,5.8,0.75,1,76,59,1,2,1,0,0.55,0.45,3
19,21,0.42,0.54,0,0,52,63,243,365,10,9,4.7,5.8,116,327,0.81,0.73,4.8,8.2,21,29,127,38,28,23,4.5,1.7,1,0.67,40,50,0,3,0,0,0.43,0.57,7
16,21,0.33,0.43,0,0,60,61,304,333,12,11,5.1,5.5,155,71,0.5,0.56,5.5,4.2,19,11,149,262,32,44,4.7,6,0,0.5,65,55,3,2,0,0,0.48,0.52,-8
13,25,0.29,0.27,0,0.6,46,77,219,401,11,12,4.8,5.2,148,191,0.48,0.64,5.5,7.1,26,13,71,210,19,50,3.7,4.2,0.67,0.67,38,20,5,1,1,0,0.34,0.66,-8
19,20,0.4,0.5,1,1,67,60,348,297,11,12,5.2,5,250,178,0.51,0.65,6.6,6.1,4,26,98,119,29,31,3.4,3.8,1,1,64,55,2,4,0,0,0.5,0.5,4
22,22,0.36,0.46,1,0.5,62,64,326,296,10,10,5.3,4.6,201,134,0.53,0.69,5.4,4.3,12,10,125,162,25,33,5,4.9,0.67,0.5,31,70,2,2,0,0,0.36,0.64,3
22,16,0.5,0.33,0.5,0,67,53,419,346,12,12,6.3,6.5,338,215,0.69,0.74,8.5,5.5,2,31,81,131,27,14,3,9.4,0.6,0.67,61,67,1,2,0,0,0.53,0.47,10
20,11,0.4,0.2,0,0.33,70,51,338,220,12,11,4.8,4.3,206,180,0.72,0.61,6.2,4.7,1,17,132,40,37,13,3.6,3.1,0.4,1,61,76,1,3,0,1,0.64,0.36,10
17,24,0.27,0.43,0,1,58,71,271,443,11,14,4.7,6.2,104,244,0.71,0.6,4.2,6.8,32,7,167,199,33,35,5.1,5.7,0.5,0.75,75,40,1,2,1,0,0.55,0.61,-3
12,25,0.27,0.5,0.5,0,48,74,299,385,11,11,6.2,5.2,214,173,0.68,0.62,7.6,4.8,23,15,85,212,20,38,4.3,5.6,0.67,0.4,50,25,1,0,0,1,0.42,0.58,-9
27,27,0.71,0.6,0,0,77,59,417,376,11,11,5.4,6.4,228,373,0.62,0.75,5.7,7,21,12,189,3,37,6,5.1,0.5,0.83,1,32,40,1,2,0,0,0.64,0.36,10
21,13,0.33,0.42,1,0,73,49,257,327,10,9,3.5,6.7,200,239,0.67,0.59,3.6,8.9,54,0,57,88,18,22,3.2,4,0,0,5,25,2,0,0,1,0.58,0.42,-15
19,18,0.25,0.13,0,0.5,73,71,306,375,13,14,4.2,5.3,200,250,0.63,0.54,4.3,5.8,51,24,106,125,26,28,4.1,4.5,0,0,64,49,2,2,0,0,0.58,0.55,3
24,22,0.55,0.4,0,0,59,61,338,301,8,9,5.7,4.9,213,207,0.78,0.64,7.6,5,4,15,125,94,31,20,4,4.7,0.75,0.67,63,37,0,0,0,0,0.54,0.46,5
23,21,0.33,0.56,0,0,72,54,364,552,11,13,5.1,10.2,310,432,0.65,0.61,5.6,12,17,0,54,120,17,18,3.2,6.7,0,0.25,54,28,2,2,0,0,0.6,0.4,-35
26,27,0.3,0.4,0,0,69,65,465,443,11,10,6.7,6.8,227,230,0.65,0.62,6.5,6.8,1,0,238,213,34,31,7,6.9,0.4,0.75,17,65,0,1,0,0,0.5,0.5,2
14,29,0.4,0.8,1,0,47,74,271,429,8,9,5.8,5.8,193,312,0.71,0.79,8.4,7.3,15,7,78,117,24,31,3.3,3.8,1,1,40,70,1,1,0,0,0.39,0.61,-7
17,22,0.33,0.33,0,0,64,56,312,364,10,9,4.9,6.5,211,188,0.54,0.81,5.7,9,18,0,101,176,27,35,3.7,5,0,0,82,46,2,1,0,1,0.48,0.52,-29
15,26,0.11,0.57,0,0,49,74,396,438,13,14,8.1,5.9,245,203,0.64,0.68,8.8,7.8,23,6,151,235,21,48,7.2,4.9,0,1,85,57,1,2,0,0,0.37,0.63,-7
19,21,0.36,0.45,0,0,62,56,295,322,12,13,4.8,5.8,158,187,0.56,0.67,4.4,8.1,8,23,137,135,26,33,5.3,4.1,0.67,0.83,102,105,2,0,0,0,0.48,0.52,-23
19,26,0.43,0.56,1,0,61,75,261,420,9,10,4.3,5.6,110,351,0.56,0.67,3.7,6.8,37,0,151,69,31,23,4.9,3,1,0.4,55,45,0,0,0,0,0.51,0.49,-6
15,17,0.29,0.09,1,0.5,62,58,241,385,12,12,3.9,6.6,136,342,0.6,0.66,4.5,8.3,45,17,105,43,32,17,3.3,2.5,1,0,69,71,0,1,0,0,0.54,0.46,4
15,22,0.38,0.43,0,0,56,73,248,422,10,10,4.4,5.8,132,286,0.67,0.53,5.3,6.1,8,0,116,136,31,26,3.7,5.2,1,0,25,48,0,2,0,0,0.53,0.47,7
22,15,0.58,0.2,0,0.6,61,65,397,308,11,11,6.5,4.7,244,244,0.6,0.6,7.6,5.1,9,31,153,64,29,17,5.3,3.8,1,0.33,50,33,1,1,1,0,0.51,0.49,22
10,14,0.33,0.35,0,1,53,64,239,323,12,12,4.5,5,76,285,0.63,0.66,4,5.8,26,35,163,38,34,15,4.8,2.5,0,0,42,25,0,3,1,0,0.49,0.51,12
24,23,0.46,0.57,1,1,71,69,357,363,9,9,5,5.3,218,239,0.72,0.67,5.7,5.6,21,11,139,124,33,26,4.2,4.8,0.5,0.5,30,15,0,1,0,0,0.58,0.42,3
20,22,0.4,0.45,0,0,59,61,291,325,9,10,4.9,5.3,190,170,0.69,0.59,5,5.2,27,4,101,155,21,28,4.8,5.5,0.67,0.33,20,48,1,1,0,0,0.5,0.5,-2
18,29,0.42,0.58,0.5,0,56,69,378,368,9,10,6.8,5.3,223,265,0.63,0.67,7,5.8,18,27,155,103,24,23,6.5,4.5,1,1,99,72,0,0,0,0,0.48,0.52,-1
14,20,0.18,0.38,0,0.25,53,69,214,391,11,10,4,5.7,86,154,0.55,0.52,3.4,4.8,13,36,128,237,28,37,4.6,6.4,0.5,0,36,42,0,2,0,0,0.46,0.54,5
21,18,0.38,0.64,0,0,57,56,346,289,10,8,6.1,5.2,296,121,0.71,0.93,7.2,7.6,0,8,50,168,16,40,3.1,4.2,0.67,1,30,40,3,0,0,1,0.44,0.56,-14
20,16,0.5,0.27,0,0.6,65,67,399,328,14,12,6.1,4.9,301,258,0.71,0.47,8.4,5.3,8,8,98,70,29,18,3.4,3.9,0.6,0.5,92,63,1,4,0,0,0.58,0.42,23
14,15,0.09,0.25,0,0.25,53,69,278,278,12,13,5.2,4,99,218,0.56,0.62,5,4.4,11,36,179,60,33,20,5.4,3,0,0,79,42,0,1,1,0,0.48,0.52,17
25,29,0.5,0.67,0.5,0,59,74,379,434,10,9,6.4,5.9,136,389,0.91,0.72,5.2,6.7,29,0,243,45,33,16,7.4,2.8,1,0.75,44,52,1,0,0,0,0.52,0.48,-7
11,23,0.17,0.29,0,0.5,50,73,234,458,15,14,4.7,6.3,156,385,0.67,0.64,4.7,7.3,19,33,78,73,17,20,4.6,3.7,0.67,1,20,97,0,3,0,0,0.41,0.59,8
